arm,scope,entry_arm,window_index,symbol,environment,source_strategy,scene_family,subtype,footprint_kind,stop_owner,authority_id,scene_root_id,location_id,boundary_timeframe,boundary_price,fvg_id,target_kind,target_source_id,side,intent_entry_mode,created_at,entry_time,closed_at,entry_price,initial_stop,initial_target,stop_distance,stop_distance_pct,target_distance,target_r,mfe_r,partial_enabled,partial_1r,final_reason,risk_budget,position_notional,notional_to_equity,net_r,net_pnl,equity_before,equity_after
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,0,ETHUSDT,eth_transition,leader,m15_ob_m5_liquidity_delivery_first_retest,fvg,,m15_event,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-02T20:15:00+00:00:3474.76:2025-01-03T02:15:00+00:00|ETHUSDT:5m:delivery:2025-01-03T04:20:00+00:00|fvg,,ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00,,,,,,short,limit_first_revisit,2025-01-03T04:30:00+00:00,2025-01-03T04:35:00+00:00,2025-01-03T05:05:00+00:00,3460.97,3476.34,3441.36,15.370000000000346,0.004440951525150564,19.609999999999673,1.2758620689654672,0.8627195836043894,False,False,volume_spike,300.0,55098.6424,5.50986424,0.3027954167405884,90.83862502217652,10000.0,10090.838625022176
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,0,ETHUSDT,eth_transition,leader,m15_ob_m5_liquidity_delivery_first_retest,fvg,,m15_event,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00|ETHUSDT:5m:m15-location-sweep:long:ETHUSDT:15m:pivot:low:2025-01-05T01:45:00+00:00:3629.52:2025-01-05T03:45:00+00:00|ETHUSDT:5m:delivery:2025-01-05T03:55:00+00:00|fvg,,ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00,,,,,,long,limit_first_revisit,2025-01-05T04:05:00+00:00,2025-01-05T04:20:00+00:00,2025-01-05T04:25:00+00:00,3637.03,3628.14,3644.61,8.890000000000327,0.0024443020816436287,7.579999999999927,0.8526434195725139,1.3082114735657173,False,False,initial_target,302.72515875066523,87943.3854,8.71517112382785,0.48912482058339285,148.07038895999824,10090.838625022176,10238.909013982175
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,0,ETHUSDT,eth_transition,leader,m15_ob_m5_liquidity_delivery_first_retest,fvg,,m15_event,v05-liquidity-delivery:ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-10T02:30:00+00:00:3260.52:2025-01-10T04:10:00+00:00|ETHUSDT:5m:delivery:2025-01-10T04:25:00+00:00|fvg,,ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00,,,,,,short,limit_first_revisit,2025-01-10T04:35:00+00:00,2025-01-10T04:40:00+00:00,2025-01-10T05:20:00+00:00,3250.88,3264.53,3211.87,13.650000000000091,0.004198863077074543,39.01000000000022,2.857875457875455,0.6,True,False,volume_spike,307.16727041946524,59042.48256,5.766481807717213,0.1781945101333333,54.73552128138973,10238.909013982175,10293.644535263564
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,0,ETHUSDT,eth_transition,leader,a1_b1_confluence,break_retest,,,confluence:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61|m15-m5-delivery:ETHUSDT:15m:break_retest:short:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61:2025-01-12T06:15:00+00:00:2025-01-12T06:30:00+00:00|ETHUSDT:5m:pivot:low:2025-01-12T14:25:00+00:00:3268.6|ETHUSDT:5m:ob:simple_2c:short:2025-01-12T14:50:00+00:00:2025-01-12T14:55:00+00:00,,ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61,,,,,,short,limit_first_revisit,2025-01-12T15:00:00+00:00,2025-01-12T15:05:00+00:00,2025-01-12T15:20:00+00:00,3268.14,3273.4900000000002,3263.7,5.350000000000364,0.0016370167740673179,4.440000000000055,0.8299065420560285,0.8149532710279208,False,False,initial_stop,308.8093360579069,117041.89782,11.37030693250019,-0.9999982494758008,-308.8087954796912,10293.644535263564,9984.835739783872
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:long:2025-01-01T11:30:00+00:00|boundary=ETHUSDT:15m:pivot:high:2025-01-01T10:00:00+00:00:3337.73|fvg=ETHUSDT:15m:fvg:long:2025-01-01T11:15:00+00:00:2025-01-01T11:30:00+00:00:2025-01-01T11:45:00+00:00,v07-sr-flip-fvg:ETHUSDT:long:2025-01-01T11:30:00+00:00,ETHUSDT:15m:pivot:high:2025-01-01T10:00:00+00:00:3337.73,15m,3337.73,ETHUSDT:15m:fvg:long:2025-01-01T11:15:00+00:00:2025-01-01T11:30:00+00:00:2025-01-01T11:45:00+00:00,fvg,ETHUSDT:15m:fvg:short:2025-01-01T08:00:00+00:00:2025-01-01T08:15:00+00:00:2025-01-01T08:30:00+00:00,long,limit_first_revisit,2025-01-01T12:00:00+00:00,2025-01-01T12:05:00+00:00,2025-01-01T12:05:00+00:00,3337.73,3327.8599999999997,3340.88,9.870000000000346,0.0029570995856466357,3.150000000000091,0.3191489361702108,0.5116514690982781,False,False,initial_target,300.0,75859.92744,7.585992744,0.13744970128000691,41.23491038400207,10000.0,10041.234910384002
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:short:2025-01-02T22:15:00+00:00|boundary=ETHUSDT:15m:pivot:low:2025-01-02T21:00:00+00:00:3441.44|fvg=ETHUSDT:15m:fvg:short:2025-01-02T22:00:00+00:00:2025-01-02T22:15:00+00:00:2025-01-02T22:30:00+00:00,v07-sr-flip-fvg:ETHUSDT:short:2025-01-02T22:15:00+00:00,ETHUSDT:15m:pivot:low:2025-01-02T21:00:00+00:00:3441.44,15m,3441.44,ETHUSDT:15m:fvg:short:2025-01-02T22:00:00+00:00:2025-01-02T22:15:00+00:00:2025-01-02T22:30:00+00:00,fvg,ETHUSDT:15m:fvg:long:2025-01-02T08:30:00+00:00:2025-01-02T08:45:00+00:00:2025-01-02T09:00:00+00:00|ETHUSDT:1h:fvg:long:2025-01-02T07:00:00+00:00:2025-01-02T08:00:00+00:00:2025-01-02T09:00:00+00:00|ETHUSDT:1h:pivot:low:2025-01-02T17:00:00+00:00:3428.2|ETHUSDT:4h:fvg:long:2025-01-02T04:00:00+00:00:2025-01-02T08:00:00+00:00:2025-01-02T12:00:00+00:00,short,limit_first_revisit,2025-01-02T22:45:00+00:00,2025-01-02T22:50:00+00:00,2025-01-02T22:55:00+00:00,3441.44,3453.4700000000003,3438.8,12.0300000000002,0.0034956297363894764,2.6399999999998727,0.2194513715710581,0.2950955943474749,False,False,initial_target,301.2370473115201,66960.09808000001,6.668512257466874,0.08163907555024369,24.59271406399752,10041.234910384002,10065.827624448
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:short:2025-01-06T07:15:00+00:00|boundary=ETHUSDT:15m:pivot:low:2025-01-06T03:00:00+00:00:3652.84|fvg=ETHUSDT:15m:fvg:short:2025-01-06T07:00:00+00:00:2025-01-06T07:15:00+00:00:2025-01-06T07:30:00+00:00,v07-sr-flip-fvg:ETHUSDT:short:2025-01-06T07:15:00+00:00,ETHUSDT:15m:pivot:low:2025-01-06T03:00:00+00:00:3652.84,15m,3652.84,ETHUSDT:15m:fvg:short:2025-01-06T07:00:00+00:00:2025-01-06T07:15:00+00:00:2025-01-06T07:30:00+00:00,fvg,ETHUSDT:15m:fvg:long:2025-01-05T14:15:00+00:00:2025-01-05T14:30:00+00:00:2025-01-05T14:45:00+00:00|ETHUSDT:15m:fvg:long:2025-01-06T01:15:00+00:00:2025-01-06T01:30:00+00:00:2025-01-06T01:45:00+00:00|ETHUSDT:15m:fvg:long:2025-01-06T01:30:00+00:00:2025-01-06T01:45:00+00:00:2025-01-06T02:00:00+00:00|ETHUSDT:15m:ob:simple_2c:long:2025-01-05T14:15:00+00:00:2025-01-05T14:30:00+00:00|ETHUSDT:15m:ob:simple_2c:long:2025-01-06T01:00:00+00:00:2025-01-06T01:15:00+00:00|ETHUSDT:15m:pivot:low:2025-01-06T01:15:00+00:00:3608.32|ETHUSDT:1h:fvg:long:2025-01-04T11:00:00+00:00:2025-01-04T12:00:00+00:00:2025-01-04T13:00:00+00:00|ETHUSDT:1h:ob:simple_2c:long:2025-01-06T00:00:00+00:00:2025-01-06T01:00:00+00:00|ETHUSDT:1h:pivot:low:2025-01-06T01:00:00+00:00:3608.32|ETHUSDT:4h:ob:simple_2c:long:2025-01-05T20:00:00+00:00:2025-01-06T00:00:00+00:00,short,limit_first_revisit,2025-01-06T07:45:00+00:00,2025-01-06T07:50:00+00:00,2025-01-06T08:30:00+00:00,3652.84,3667.05,3644.08,14.210000000000036,0.0038901238488409117,8.760000000000218,0.6164672765658125,0.7769176636171664,False,False,initial_target,301.97482873344,61711.078960000006,6.130750621053297,0.408433402284916,123.3366067040037,10065.827624448,10189.164231152005
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:long:2025-01-06T11:15:00+00:00|boundary=ETHUSDT:15m:pivot:high:2025-01-06T10:00:00+00:00:3645.47|fvg=ETHUSDT:15m:fvg:long:2025-01-06T11:00:00+00:00:2025-01-06T11:15:00+00:00:2025-01-06T11:30:00+00:00,v07-sr-flip-fvg:ETHUSDT:long:2025-01-06T11:15:00+00:00,ETHUSDT:15m:pivot:high:2025-01-06T10:00:00+00:00:3645.47,15m,3645.47,ETHUSDT:15m:fvg:long:2025-01-06T11:00:00+00:00:2025-01-06T11:15:00+00:00:2025-01-06T11:30:00+00:00,order_block,ETHUSDT:15m:fvg:short:2025-01-06T07:00:00+00:00:2025-01-06T07:15:00+00:00:2025-01-06T07:30:00+00:00|ETHUSDT:15m:ob:simple_2c:short:2025-01-06T08:00:00+00:00:2025-01-06T08:15:00+00:00,long,limit_first_revisit,2025-01-06T11:45:00+00:00,2025-01-06T11:50:00+00:00,2025-01-06T11:55:00+00:00,3645.47,3634.1899999999996,3649.09,11.2800000000002,0.003094251221378917,3.6200000000003456,0.3209219858156278,0.8439716312056572,False,False,initial_target,305.6749269345601,74706.61671,7.331967079458248,0.144883248450038,44.28717638400708,10189.164231152005,10233.451407536011
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:short:2025-01-09T13:30:00+00:00|boundary=ETHUSDT:15m:pivot:low:2025-01-09T08:00:00+00:00:3259.58|fvg=ETHUSDT:15m:fvg:short:2025-01-09T13:15:00+00:00:2025-01-09T13:30:00+00:00:2025-01-09T13:45:00+00:00,v07-sr-flip-fvg:ETHUSDT:short:2025-01-09T13:30:00+00:00,ETHUSDT:15m:pivot:low:2025-01-09T08:00:00+00:00:3259.58,15m,3259.58,ETHUSDT:15m:fvg:short:2025-01-09T13:15:00+00:00:2025-01-09T13:30:00+00:00:2025-01-09T13:45:00+00:00,pivot,ETHUSDT:15m:pivot:low:2025-01-08T17:30:00+00:00:3206.02|ETHUSDT:1h:pivot:low:2025-01-08T17:00:00+00:00:3206.02|ETHUSDT:4h:pivot:low:2025-01-08T16:00:00+00:00:3206.02,short,limit_first_revisit,2025-01-09T14:00:00+00:00,2025-01-09T15:20:00+00:00,2025-01-09T15:30:00+00:00,3259.58,3289.0800000000004,3206.02,29.500000000000455,0.009050245737181004,53.559999999999945,1.8155932203389533,0.0,True,False,initial_stop,307.0035422260803,30522.707120000003,2.9826405485760934,-0.9999408839633221,-306.98539339341784,10233.451407536011,9926.466014142594
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0,ETHUSDT,eth_transition,v07,sr_flip_fvg,,,,v07-sr-flip-fvg:ETHUSDT:long:2025-01-09T15:45:00+00:00|boundary=ETHUSDT:15m:pivot:high:2025-01-09T12:15:00+00:00:3309.13|fvg=ETHUSDT:15m:fvg:long:2025-01-09T15:30:00+00:00:2025-01-09T15:45:00+00:00:2025-01-09T16:00:00+00:00,v07-sr-flip-fvg:ETHUSDT:long:2025-01-09T15:45:00+00:00,ETHUSDT:15m:pivot:high:2025-01-09T12:15:00+00:00:3309.13,15m,3309.13,ETHUSDT:15m:fvg:long:2025-01-09T15:30:00+00:00:2025-01-09T15:45:00+00:00:2025-01-09T16:00:00+00:00,fvg,ETHUSDT:1h:fvg:short:2025-01-09T05:00:00+00:00:2025-01-09T06:00:00+00:00:2025-01-09T07:00:00+00:00,long,limit_first_revisit,2025-01-09T16:15:00+00:00,2025-01-09T16:20:00+00:00,2025-01-09T17:20:00+00:00,3309.13,3284.79,3322.97,24.340000000000146,0.0073554076146903095,13.83999999999969,0.5686113393590636,0.10188989317995084,False,False,initial_stop,297.7939804242778,35665.80314,3.593001083082907,-0.999980607679638,-297.78820550800754,9926.466014142594,9628.677808634586
